Loan Name;Account ID;Account Holder Name;Account State;Loan Amount;Principal Due;Total Due;Total Paid;Days In Arrears;Interest from Arrears Balance;Interest from Arrears Due;Interest from Arrears Paid;Days Late;Product;Product Category;Created;Last Modified;Closed Date
BNPL - Dynamic;PMNR842;Joud  Zaumot;Closed;123,00;0,00;0,00;123,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:47:51;27-06-2022 03:05:52;27-06-2022 03:05:52
BNPL - Dynamic;VTQG330;Joud  Zaumot;Closed;200,00;0,00;0,00;200,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:48:56;27-06-2022 03:06:30;27-06-2022 03:06:30
BNPL - Dynamic;SITW221;Joud  Zaumot;Closed;280,00;0,00;0,00;280,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:50:24;27-06-2022 03:06:35;27-06-2022 03:06:35
BNPL - Dynamic;YGGI290;Joud  Zaumot;Closed;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 16:29:48;27-06-2022 03:06:40;27-06-2022 03:06:41
BNPL - Dynamic;SCDZ737;Joud  Zaumot;Closed;3000,00;0,00;0,00;3000,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 16:34:11;27-06-2022 03:05:04;27-06-2022 03:05:05
BNPL - Dynamic;MARKETBANK-576829;Joud  Zaumot;Closed;69,99;0,00;0,00;69,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 16:42:53;27-06-2022 03:07:01;27-06-2022 03:07:02
BNPL - Dynamic;MARKETBANK-857955;Joud  Zaumot;Closed;69,99;0,00;0,00;69,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;27-06-2022 03:12:41;27-06-2022 03:27:00;27-06-2022 03:27:00
AAAA;SZGZ787;Feyre Archeron;In Arrears;5000,00;1150,00;1245,91;0,00;82,00;0,00;0,00;0,00;222,00;AAAA;PERSONAL_LENDING;22-03-2022 16:06:52;19-05-2023 02:21:09;
Agriculture Loan;Loan1;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-02-2021 16:54:57;06-12-2022 17:45:31;
Agriculture Loan;Loan3;Pedro Miguel Marquez;Approved;800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;19-02-2021 16:55:00;06-12-2022 17:45:31;
Student Loan;UWRZ801;Teresa Varandas;Closed (Written Off);7000,00;0,00;0,00;500,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;04-08-2020 11:34:19;03-09-2020 19:58:04;03-09-2020 19:58:05
Agriculture Loan;NCXF927;Joana Client;In Arrears;950,00;775,45;826,35;200,00;295,00;0,00;0,00;0,00;295,00;Agriculture Loan;UNCATEGORIZED;15-09-2022 12:27:38;06-12-2022 17:45:31;
Car Loan;RPLU762;Rui Pedro Esteves;Active;25000,00;0,00;0,00;20000,00;0,00;0,00;0,00;0,00;0,00;Car Loan;COMMERCIAL;15-09-2022 13:53:58;06-12-2022 17:50:17;
Agriculture Loan;TTWI530;Rita de Fonseca AFonso;Approved;950,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;29-06-2021 17:30:18;06-12-2022 17:45:28;
Credit Card PT;RPZK782;Client MTA1;In Arrears;1000,00;197,14;232,21;5,00;403,00;31,71;31,71;0,00;419,00;Credit Card PT;;20-05-2022 11:28:45;17-07-2023 00:43:29;
Agriculture Loan;KRRE069;Client MTA1;In Arrears;950,00;380,00;395,27;631,08;294,00;0,00;0,00;0,00;322,00;Agriculture Loan;UNCATEGORIZED;20-05-2022 11:41:58;06-12-2022 17:45:31;
SO Bank BNPL ;835124624;Pedro Pascal;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;27-03-2023 09:10:19;27-03-2023 09:10:20;
SO Bank BNPL ;851391363;Ariel Mermaid;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;27-03-2023 10:59:50;27-03-2023 10:59:51;
SO Bank BNPL SME;958216618;EmpresaAngelina;Pending Approval;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL SME;SME_LENDING;27-03-2023 11:31:13;27-03-2023 11:31:13;
SO Bank BNPL SME;904258993;EmpresaAngelina;Pending Approval;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL SME;SME_LENDING;27-03-2023 11:31:50;27-03-2023 11:31:50;
SO Bank BNPL SME;970735414;Upskill-test-group-priscilla;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL SME;SME_LENDING;27-03-2023 11:40:36;27-03-2023 12:05:17;
SO Mortgage Account - EUR;471914982;TestGroupA;Approved;9000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;27-03-2023 11:46:11;27-03-2023 11:47:09;
SO Mortgage Account EURIBOR  - EUR v3;434234351;Carol Amandino;Active;7000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v3;RETAIL_MORTGAGES;26-07-2023 11:00:18;26-07-2023 11:00:37;
SO Mortgage Account EURIBOR  - EUR v4;430960745;Carol Amandino;Active;7000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v4;RETAIL_MORTGAGES;26-07-2023 11:05:57;26-07-2023 11:08:54;
SO Mortgage Account EURIBOR  - EUR v4;420176235;Carol Amandino;Active;60000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v4;RETAIL_MORTGAGES;26-07-2023 11:30:58;26-07-2023 11:42:34;
SO Mortgage Account EURIBOR  - EUR v4;422758804;Carol Amandino;Active;60000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v4;RETAIL_MORTGAGES;26-07-2023 11:31:05;26-07-2023 11:42:34;
SO Mortgage Account EURIBOR  - EUR v4;448933072;Carol Amandino;Active;60000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account EURIBOR  - EUR v4;RETAIL_MORTGAGES;26-07-2023 11:31:11;26-07-2023 11:42:33;
Retail Mortgage;MRTG-RET-FWQW562;Client Nuno Faria;Closed;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;15-03-2021 11:18:43;18-03-2021 15:06:27;15-03-2021 11:26:00
Revolving ;FJTZ181;Client Nuno Faria;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Revolving ;PERSONAL_LENDING;08-06-2021 12:13:37;06-12-2022 17:49:59;
Revolving Created from API;UBPC163;Client Nuno Faria;Pending Approval;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Revolving ;PERSONAL_LENDING;08-06-2021 12:20:44;06-12-2022 17:49:59;
Buy Now Pay Later;MARKETBANK-390280;Gil Pinto;Closed;79,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;15-06-2022 16:12:29;22-06-2022 16:25:24;22-06-2022 16:25:24
BNPL - Dynamic;MARKETBANK-881525;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;15-06-2022 16:23:16;22-06-2022 16:25:33;22-06-2022 16:25:33
Agriculture Loan;LSNU230;Chandana Test;In Arrears;950,00;950,00;1147,25;0,00;736,00;0,00;0,00;0,00;736,00;Agriculture Loan;UNCATEGORIZED;15-07-2021 07:36:33;06-12-2022 17:45:29;
Car Loan;WDTC833;Chandana Test;In Arrears;50000,00;50000,00;56428,57;0,00;630,00;0,00;0,00;0,00;634,00;Car Loan;COMMERCIAL;15-07-2021 10:07:23;06-12-2022 17:50:16;
Student Loan;BHIY734;Chandana_1 Shetty Test;Approved;7000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;15-07-2021 10:09:50;06-12-2022 17:45:42;
SME Lending Revolving;CLJT066;Labs & Strategy SA;In Arrears;100000,00;53000,00;54790,59;5500,00;195,00;1749,76;1749,76;0,00;200,00;SME Lending Revolving;SME_LENDING;17-01-2023 10:32:59;08-08-2023 04:41:03;
Term Credit - (very) Long Term ;BENA497;Teste Empresa;Approved;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 17:02:31;15-06-2023 17:02:31;
Agriculture Loan;HTYH497;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 09:14:30;06-12-2022 17:45:27;
Agriculture Loan;QFBI268;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 09:24:50;06-12-2022 17:45:27;
Agriculture Loan;SSLX830;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;17-02-2021 09:26:27;06-12-2022 17:45:27;
Agriculture Loan;L00029;Maria Graca Cardoso;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 10:41:58;06-12-2022 17:45:22;
Agriculture Loan;L00030;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;23-02-2021 10:42:02;06-12-2022 17:45:22;
Austrian Loan (Copy)_02;EBDU909;Client Nuno Faria;Approved;5000000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Austrian Loan (Copy)_02;PERSONAL_LENDING;18-07-2022 14:35:59;06-12-2022 17:45:36;
Agriculture Loan;XTLJ719;Afonso Carvalho Pereira;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;02-03-2021 10:36:33;06-12-2022 17:45:25;
Student Loan;NGJA281;Marta Coelho;In Arrears;8000,00;433,34;433,34;1720,00;120,00;0,00;0,00;0,00;126,00;Student Loan;;12-03-2021 14:34:55;11-04-2023 00:29:18;
TesteLoanDyn;EPEY549;Maria Pinto;Closed;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;TesteLoanDyn;PERSONAL_LENDING;12-06-2023 14:35:15;12-06-2023 15:08:05;12-06-2023 15:08:04
Buy Now Pay Later;MARKETBANK-167308;Gil Pinto;Closed;59,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 12:57:05;22-06-2022 16:23:35;22-06-2022 16:23:36
Buy Now Pay Later;MARKETBANK-122559;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 15:03:27;22-06-2022 16:24:12;22-06-2022 16:24:12
Buy Now Pay Later;MARKETBANK-379231;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 15:46:14;22-06-2022 16:24:27;22-06-2022 16:24:27
Buy Now Pay Later;MARKETBANK-894621;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 16:39:59;22-06-2022 16:24:35;22-06-2022 16:24:35
Capitalized Fee test;L03;Martim Leitao Reis;Approved;1145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Capitalized Fee test;;06-04-2021 11:04:00;06-12-2022 17:45:23;
Construction Loan;L01;Martim Leitao Reis;Pending Approval;13111751500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Construction Loan;COMMERCIAL;06-04-2021 11:04:08;06-12-2022 17:45:36;
Credit Card PT;L05;Pedro Miguel Marquez;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;06-04-2021 11:04:22;06-12-2022 17:45:31;
Fishermen Group Loan;L07;Andre Drumond Mateus;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;06-04-2021 11:04:22;06-12-2022 17:45:31;
Personal Loan;L06;Pedro Miguel Marquez;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;06-04-2021 11:04:35;06-12-2022 17:45:44;
Agriculture Loan;L09;Martim Leitao Reis;Approved;1150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Agriculture Loan;UNCATEGORIZED;06-04-2021 11:22:35;06-12-2022 17:45:27;
Construction Loan;L08;Martim Leitao Reis;Pending Approval;13111751500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Construction Loan;COMMERCIAL;06-04-2021 11:22:48;06-12-2022 17:45:36;
BNPL - Dynamic;MARKETBANK-62ac53be2e77f;Pedro3 Gomes3;Approved;180,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;17-06-2022 11:13:16;06-12-2022 17:45:20;
WUBS Loan AT EUR 1D - Updated;L5847701525;Client Nuno Faria;In Arrears;1000,00;1000,00;1856,51;0,00;739,00;1,32;1,32;0,00;739,00;WUBS Loan AT EUR 1D - Updated;SME_LENDING;02-07-2021 15:54:08;18-04-2023 12:52:46;
smeloan45;XDSS339;EmpresaAngelina;Pending Approval;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;smeloan45;PERSONAL_LENDING;19-02-2023 20:40:37;28-02-2023 16:52:04;
SO Mortgage Account w/offset - EUR;463255939;Maria  L;In Arrears;100000,00;901,22;1078,98;10,00;1,00;0,00;0,00;0,00;1,00;SO Mortgage Account w/offset - EUR;RETAIL_MORTGAGES;05-07-2023 17:25:58;08-08-2023 04:40:24;
BNPL - Dynamic;MARKETBANK-384591;Joud  Zaumot;Closed;19,99;0,00;0,00;19,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;27-06-2022 14:48:39;27-06-2022 14:51:53;27-06-2022 14:51:54
BNPL - Dynamic;MARKETBANK-138834;Joud  Zaumot;Closed;139,99;0,00;0,00;139,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;27-06-2022 19:01:47;27-06-2022 19:34:04;27-06-2022 19:34:05
WUBS Loan AT EUR 1D - Updated;L0536527242;Client Nuno Faria;In Arrears;1500,00;1488,00;4042,01;12,00;735,00;0,46;0,46;0,00;735,00;WUBS Loan AT EUR 1D - Updated;SME_LENDING;02-08-2021 11:09:22;06-12-2022 17:45:35;
WUBS Loan AT EUR 1D - Updated;L5651791879;Client Nuno Faria;In Arrears;11111,00;11111,00;20023,16;0,00;726,00;0,00;0,00;0,00;726,00;WUBS Loan AT EUR 1D - Updated;SME_LENDING;02-08-2021 16:42:09;06-12-2022 17:45:35;
BNPL - KTB;JCAF800;Client Nuno Faria;In Arrears;10000,00;2895,88;6635,04;79,80;84,00;28,42;28,42;0,00;89,00;BNPL - KTB;PERSONAL_LENDING;11-04-2023 15:07:05;08-08-2023 04:40:32;
Term Credit - (very) Long Term ;WSLF010;Maria Pinto;Approved;47,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 09:52:28;15-06-2023 09:52:28;
Term Credit - (very) Long Term ;MEHR910;Maria Pinto;Approved;47,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 09:56:23;15-06-2023 09:56:23;
Term Credit - (very) Long Term ;USRP358;Maria Pinto;Approved;47,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 09:56:53;15-06-2023 09:56:53;
Term Credit - (very) Long Term ;JRON290;Maria Pinto;Approved;47,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 09:57:17;15-06-2023 09:57:18;
Term Credit - (very) Long Term ;IJFA592;Maria Pinto;Approved;47,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 09:57:49;15-06-2023 09:57:50;
Term Credit - (very) Long Term ;COJA381;Corporate Interest;Pending Approval;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 10:03:36;15-06-2023 10:03:36;
Term Credit - (very) Long Term ;TNVD795;Corporate Interest;Pending Approval;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;15-06-2023 10:05:46;15-06-2023 10:05:46;
Personal Loan;QNQQ741;Davide dos Santos Pereira;Closed;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Personal Loan;;12-07-2021 12:09:37;12-07-2021 12:18:51;12-07-2021 12:18:51
Student Loan;YYAO994;Davide dos Santos Pereira;Approved;7000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Student Loan;;12-07-2021 12:19:17;06-12-2022 17:45:42;
Car Loan;YXRS090;Davide dos Santos Pereira;In Arrears;10000,00;10000,00;13114,29;100,00;725,00;0,00;0,00;0,00;725,00;Car Loan;COMMERCIAL;12-07-2021 12:23:52;06-12-2022 17:50:16;
Student Loan;UYRD631;Honorato Afonso de Maria;In Arrears;9270,00;2553,50;3017,00;3008,50;377,00;0,00;0,00;0,00;378,00;Student Loan;;12-07-2021 14:50:00;06-12-2022 17:45:42;
Buy Now Pay Later;MARKETBANK-874576;Gil Pinto;Closed;49,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 13:00:24;22-06-2022 16:23:45;22-06-2022 16:23:45
Buy Now Pay Later;MARKETBANK-383549;Gil Pinto;Closed;139,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;13-06-2022 13:09:49;22-06-2022 16:23:49;22-06-2022 16:23:49
Buy Now Pay Later;MARKETBANK-123252;Pedro3 Gomes3;Approved;1000,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 12:57:04;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-148494;Alberto Gomes;Approved;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;09-06-2022 13:03:18;06-12-2022 17:45:33;
Retail Mortgage;MRTG-RET-IOZD012;James Theodore White;Closed;130000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;09-04-2021 16:56:48;15-04-2021 10:34:54;15-04-2021 10:34:54
SO Mortgage Account - EUR;452537472;Sandra Bullock;In Arrears;100000,00;1000,00;1167,23;1169,17;4,00;0,00;0,00;0,00;4,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;04-07-2023 16:05:00;05-08-2023 06:27:15;
Student Loan;L00074;گلشن Chinwenma;In Arrears;5000,00;1666,66;2256,66;0,00;529,00;0,00;0,00;0,00;546,00;Student Loan;;30-03-2021 11:51:19;06-12-2022 17:45:41;
Personal Loan;NAYS440;Marta Coelho;In Arrears;2000,00;1505,00;1639,62;500,00;432,00;17,22;17,22;0,00;434,00;Personal Loan;;05-05-2022 20:49:13;06-12-2022 17:45:24;
BNPL - Dynamic;MARKETBANK-914074;Gil Pinto;Approved;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;22-06-2022 15:39:03;06-12-2022 17:45:25;
Credit Card PT;L00068;Martim Leitao Reis;Approved;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Credit Card PT;;29-03-2021 18:05:07;06-12-2022 17:45:30;
Buy Now Pay Later;1000000;António José;Approved;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;08-06-2022 10:29:55;06-12-2022 17:45:32;
txt;117705021;EmpresaAngelina;Pending Approval;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Term Loan - EUR;PERSONAL_LENDING;27-03-2023 14:22:44;27-03-2023 14:22:44;
txt;111818118;EmpresaAngelina;Pending Approval;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Term Loan - EUR;PERSONAL_LENDING;27-03-2023 14:24:13;27-03-2023 14:24:13;
SO Bank BNPL SME;961692196;EmpresaAngelina;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL SME;SME_LENDING;27-03-2023 14:35:29;27-03-2023 14:36:43;
SO Bank BNPL ;877483248;Ariel Mermaid;Approved;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Bank BNPL ;PERSONAL_LENDING;27-03-2023 14:42:30;27-03-2023 14:42:30;
Austrian Loan;FBXI653;Client Nuno Faria;In Arrears;500000,00;133333,28;138395,79;0,00;475,00;631,24;631,24;0,00;475,00;Austrian Loan;PERSONAL_LENDING;20-08-2021 11:53:44;20-07-2023 01:06:35;
Austrian Loan;ARGA507;Client Nuno Faria;Approved;500000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Austrian Loan;PERSONAL_LENDING;20-08-2021 15:09:35;06-12-2022 17:45:34;
Term Credit - (very) Long Term ;FBIQ063;Carol Amandino;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;13-06-2023 14:25:02;13-06-2023 14:25:02;
Term Credit - (very) Long Term ;IYUF160;Carol Amandino;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;13-06-2023 14:26:46;13-06-2023 14:26:46;
Term Credit - (very) Long Term ;GIAW632;Carol Amandino;Approved;1500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Term Credit - (very) Long Term ;SME_LENDING;13-06-2023 15:15:32;13-06-2023 15:15:32;
Buy Now Pay Later;MARKETBANK-817498;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;15-06-2022 11:33:29;22-06-2022 16:25:05;22-06-2022 16:25:06
Buy Now Pay Later;MARKETBANK-683731;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;15-06-2022 15:09:07;22-06-2022 16:25:10;22-06-2022 16:25:11
Buy Now Pay Later;MARKETBANK-295828;Gil Pinto;Closed;79,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;15-06-2022 16:09:18;22-06-2022 16:25:15;22-06-2022 16:25:15
Buy Now Pay Later;MARKETBANK-544506;Gil Pinto;Closed;79,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Buy Now Pay Later;PERSONAL_LENDING;15-06-2022 16:11:57;22-06-2022 16:25:19;22-06-2022 16:25:20
BNPL - Dynamic;MARKETBANK-464008;Gil Pinto;In Arrears;79,99;21,67;21,78;58,32;358,00;0,00;0,00;0,00;389,00;BNPL - KTB;PERSONAL_LENDING;15-06-2022 17:07:44;20-01-2023 01:01:09;
Retail Mortgage;MRTG-RET-LTXU635;James Theodore White;Closed;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;23-03-2021 07:29:06;23-03-2021 08:40:22;23-03-2021 08:40:23
Retail Mortgage;MRTG-RET-PLYO865;James Theodore White;Closed;150000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Retail Mortgage;RETAIL_MORTGAGES;23-03-2021 09:39:54;23-03-2021 12:07:53;23-03-2021 12:07:54
