Loan Name;Account ID;Account Holder ID;Account Holder Name;Account State;Account Sub-State;Loan Amount;Principal Due;Total Due;Principal Paid;Total Paid;Approval Date;Activation Date;Last Payment Date;Last Modified;Closed Date
Agriculture Loan;Loan1;123111;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;19-02-2021 16:57:51;;;06-12-2022 17:45:31;
Agriculture Loan;Loan3;123113;Pedro Miguel Marquez;Approved;;800,00;0,00;0,00;0,00;0,00;19-02-2021 16:57:53;;;06-12-2022 17:45:31;
Student Loan;UWRZ801;755038585;Teresa Varandas;Closed (Written Off);Locked;7000,00;0,00;0,00;150,00;500,00;04-08-2020 11:34:28;04-08-2020 11:37:25;04-08-2020 11:37:55;03-09-2020 19:58:04;03-09-2020 19:58:05
Agriculture Loan;NCXF927;207828701;Joana Client;In Arrears;;950,00;775,45;826,35;174,55;200,00;15-09-2022 12:27:46;15-09-2022 12:37:03;15-09-2022 12:37:44;06-12-2022 17:45:31;
Car Loan;RPLU762;834417732;Rui Pedro Esteves;Active;;25000,00;0,00;0,00;14877,25;20000,00;15-09-2022 13:54:00;15-09-2022 13:59:07;15-09-2022 14:00:18;06-12-2022 17:50:17;
Agriculture Loan;TTWI530;480639407;Rita de Fonseca AFonso;Approved;;950,00;0,00;0,00;0,00;0,00;29-06-2021 17:30:32;;;06-12-2022 17:45:28;
Credit Card PT;RPZK782;159090689;Client MTA1;In Arrears;;1000,00;197,14;232,21;2,86;5,00;20-05-2022 11:28:48;20-05-2022 11:32:06;28-11-2022 16:29:50;17-07-2023 00:43:29;
Agriculture Loan;KRRE069;159090689;Client MTA1;In Arrears;;950,00;380,00;395,27;570,00;631,08;20-05-2022 11:41:59;20-05-2022 11:42:32;15-09-2022 11:53:33;06-12-2022 17:45:31;
SO Bank BNPL ;835124624;314316158;Pedro Pascal;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 09:10:21;;;27-03-2023 09:10:20;
SO Bank BNPL ;851391363;550185700;Ariel Mermaid;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 10:59:51;;;27-03-2023 10:59:51;
SO Bank BNPL SME;958216618;205270106;EmpresaAngelina;Pending Approval;;1000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 11:31:13;
SO Bank BNPL SME;904258993;205270106;EmpresaAngelina;Pending Approval;;1000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 11:31:50;
SO Bank BNPL SME;970735414;802294652;Upskill-test-group-priscilla;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 12:05:17;;;27-03-2023 12:05:17;
SO Mortgage Account - EUR;471914982;754884483;TestGroupA;Approved;;9000,00;0,00;0,00;0,00;0,00;27-03-2023 11:47:09;;;27-03-2023 11:47:09;
SO Mortgage Account EURIBOR  - EUR v3;434234351;243772958;Carol Amandino;Active;;7000,00;0,00;0,00;0,00;0,00;26-07-2023 11:00:25;26-07-2023;;26-07-2023 11:00:37;
SO Mortgage Account EURIBOR  - EUR v4;430960745;243772958;Carol Amandino;Active;;7000,00;0,00;0,00;0,00;0,00;26-07-2023 11:06:09;26-07-2023;;26-07-2023 11:08:54;
SO Mortgage Account EURIBOR  - EUR v4;420176235;243772958;Carol Amandino;Active;;60000,00;0,00;0,00;0,00;0,00;26-07-2023 11:30:59;26-07-2023;;26-07-2023 11:42:34;
SO Mortgage Account EURIBOR  - EUR v4;422758804;243772958;Carol Amandino;Active;;60000,00;0,00;0,00;0,00;0,00;26-07-2023 11:31:06;26-07-2023;;26-07-2023 11:42:34;
SO Mortgage Account EURIBOR  - EUR v4;448933072;243772958;Carol Amandino;Active;;60000,00;0,00;0,00;0,00;0,00;26-07-2023 11:31:11;26-07-2023;;26-07-2023 11:42:33;
Retail Mortgage;MRTG-RET-FWQW562;299268506;Client Nuno Faria;Closed;Withdrawn;10000,00;0,00;0,00;0,00;0,00;15-03-2021 11:19:11;;;18-03-2021 15:06:27;15-03-2021 11:26:00
Revolving ;FJTZ181;299268506;Client Nuno Faria;Approved;;1000,00;0,00;0,00;0,00;0,00;08-06-2022 23:13:53;;;06-12-2022 17:49:59;
Revolving Created from API;UBPC163;299268506;Client Nuno Faria;Pending Approval;;1000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:49:59;
Buy Now Pay Later;MARKETBANK-390280;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,98;0,00;0,00;0,00;0,00;15-06-2022 16:12:32;;;22-06-2022 16:25:24;22-06-2022 16:25:24
BNPL - Dynamic;MARKETBANK-881525;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 16:23:17;;;22-06-2022 16:25:33;22-06-2022 16:25:33
Agriculture Loan;LSNU230;314151169;Chandana Test;In Arrears;;950,00;950,00;1147,25;0,00;0,00;15-07-2021 07:36:35;16-07-2021;;06-12-2022 17:45:29;
Car Loan;WDTC833;314151169;Chandana Test;In Arrears;;50000,00;50000,00;56428,57;0,00;0,00;15-07-2021 10:07:28;13-10-2021;;06-12-2022 17:50:16;
Student Loan;BHIY734;317432783;Chandana_1 Shetty Test;Approved;;7000,00;0,00;0,00;0,00;0,00;15-07-2021 10:09:51;;;06-12-2022 17:45:42;
SME Lending Revolving;CLJT066;764634219;Labs & Strategy SA;In Arrears;;100000,00;53000,00;54790,59;5500,00;5500,00;17-01-2023 10:33:14;17-01-2023;17-01-2023 10:42:33;08-08-2023 04:41:03;
Term Credit - (very) Long Term ;BENA497;288265930;Teste Empresa;Approved;;10000,00;0,00;0,00;0,00;0,00;15-06-2023 17:02:31;;;15-06-2023 17:02:31;
Agriculture Loan;HTYH497;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 09:14:33;;;06-12-2022 17:45:27;
Agriculture Loan;QFBI268;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 09:24:51;;;06-12-2022 17:45:27;
Agriculture Loan;SSLX830;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;17-02-2021 09:26:29;;;06-12-2022 17:45:27;
Agriculture Loan;L00029;00037;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;23-02-2021 10:42:02;;;06-12-2022 17:45:22;
Agriculture Loan;L00030;00038;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;23-02-2021 10:42:04;;;06-12-2022 17:45:22;
Austrian Loan (Copy)_02;EBDU909;299268506;Client Nuno Faria;Approved;;5000000,00;0,00;0,00;0,00;0,00;18-07-2022 14:36:02;;;06-12-2022 17:45:36;
Agriculture Loan;XTLJ719;288724520;Afonso Carvalho Pereira;Approved;;1150,00;0,00;0,00;0,00;0,00;02-03-2021 10:36:37;;;06-12-2022 17:45:25;
Student Loan;NGJA281;567783887;Marta Coelho;In Arrears;;8000,00;433,34;433,34;900,00;1720,00;12-03-2021 14:34:58;12-03-2021;01-03-2023 16:20:23;11-04-2023 00:29:18;
TesteLoanDyn;EPEY549;769273359;Maria Pinto;Closed;Rescheduled;100,00;0,00;0,00;0,00;0,00;12-06-2023 14:45:35;12-06-2023;;12-06-2023 15:08:05;12-06-2023 15:08:04
Buy Now Pay Later;MARKETBANK-167308;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;59,99;0,00;0,00;0,00;0,00;13-06-2022 12:57:10;;;22-06-2022 16:23:35;22-06-2022 16:23:36
Buy Now Pay Later;MARKETBANK-122559;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;13-06-2022 15:03:28;;;22-06-2022 16:24:12;22-06-2022 16:24:12
Buy Now Pay Later;MARKETBANK-379231;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;13-06-2022 15:46:15;;;22-06-2022 16:24:27;22-06-2022 16:24:27
Buy Now Pay Later;MARKETBANK-894621;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;13-06-2022 16:40:00;;;22-06-2022 16:24:35;22-06-2022 16:24:35
Capitalized Fee test;L03;C02;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;06-04-2021 11:05:13;;;06-12-2022 17:45:23;
Construction Loan;L01;C02;Martim Leitao Reis;Pending Approval;;13111751500,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:36;
Credit Card PT;L05;C03;Pedro Miguel Marquez;Approved;;5000,00;0,00;0,00;0,00;0,00;06-04-2021 11:05:13;;;06-12-2022 17:45:31;
Fishermen Group Loan;L07;C04;Andre Drumond Mateus;Approved;;5000,00;0,00;0,00;0,00;0,00;06-04-2021 11:05:17;;;06-12-2022 17:45:31;
Personal Loan;L06;C03;Pedro Miguel Marquez;Approved;;5000,00;0,00;0,00;0,00;0,00;06-04-2021 11:05:17;;;06-12-2022 17:45:44;
Agriculture Loan;L09;C06;Martim Leitao Reis;Approved;;1150,00;0,00;0,00;0,00;0,00;06-04-2021 11:22:37;;;06-12-2022 17:45:27;
Construction Loan;L08;C06;Martim Leitao Reis;Pending Approval;;13111751500,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:36;
BNPL - Dynamic;MARKETBANK-62ac53be2e77f;810233400;Pedro3 Gomes3;Approved;;180,00;0,00;0,00;0,00;0,00;17-06-2022 11:21:33;;;06-12-2022 17:45:20;
WUBS Loan AT EUR 1D - Updated;L5847701525;299268506;Client Nuno Faria;In Arrears;Locked;1000,00;1000,00;1856,51;0,00;0,00;02-07-2021 15:54:13;29-07-2021;;18-04-2023 12:52:46;
smeloan45;XDSS339;205270106;EmpresaAngelina;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;28-02-2023 16:52:04;
SO Mortgage Account w/offset - EUR;463255939;365091776;Maria  L;In Arrears;;100000,00;901,22;1078,98;7,50;10,00;05-07-2023 17:25:59;05-07-2023;05-07-2023 17:28:22;08-08-2023 04:40:24;
BNPL - Dynamic;MARKETBANK-384591;881857316;Joud  Zaumot;Closed;;19,99;0,00;0,00;19,99;19,99;27-06-2022 14:48:44;27-06-2022;27-06-2022 14:48:46;27-06-2022 14:51:53;27-06-2022 14:51:54
BNPL - Dynamic;MARKETBANK-138834;881857316;Joud  Zaumot;Closed;;139,99;0,00;0,00;139,99;139,99;27-06-2022 19:01:48;27-06-2022;27-06-2022 19:01:50;27-06-2022 19:34:04;27-06-2022 19:34:05
WUBS Loan AT EUR 1D - Updated;L0536527242;299268506;Client Nuno Faria;In Arrears;Locked;1500,00;1488,00;4042,01;12,00;12,00;02-08-2021 11:09:25;02-08-2021;02-08-2021 11:10:12;06-12-2022 17:45:35;
WUBS Loan AT EUR 1D - Updated;L5651791879;299268506;Client Nuno Faria;In Arrears;Locked;11111,00;11111,00;20023,16;0,00;0,00;02-08-2021 16:42:10;02-08-2021;;06-12-2022 17:45:35;
BNPL - KTB;JCAF800;299268506;Client Nuno Faria;In Arrears;;10000,00;2895,88;6635,04;0,00;79,80;11-04-2023 15:07:07;11-04-2023;05-05-2023 17:15:13;08-08-2023 04:40:32;
Term Credit - (very) Long Term ;WSLF010;769273359;Maria Pinto;Approved;;47,70;0,00;0,00;0,00;0,00;15-06-2023 09:52:29;;;15-06-2023 09:52:28;
Term Credit - (very) Long Term ;MEHR910;769273359;Maria Pinto;Approved;;47,70;0,00;0,00;0,00;0,00;15-06-2023 09:56:23;;;15-06-2023 09:56:23;
Term Credit - (very) Long Term ;USRP358;769273359;Maria Pinto;Approved;;47,70;0,00;0,00;0,00;0,00;15-06-2023 09:56:54;;;15-06-2023 09:56:53;
Term Credit - (very) Long Term ;JRON290;769273359;Maria Pinto;Approved;;47,70;0,00;0,00;0,00;0,00;15-06-2023 09:57:18;;;15-06-2023 09:57:18;
Term Credit - (very) Long Term ;IJFA592;769273359;Maria Pinto;Approved;;47,70;0,00;0,00;0,00;0,00;15-06-2023 09:57:50;;;15-06-2023 09:57:50;
Term Credit - (very) Long Term ;COJA381;339854262;Corporate Interest;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;15-06-2023 10:03:36;
Term Credit - (very) Long Term ;TNVD795;339854262;Corporate Interest;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;15-06-2023 10:05:46;
Personal Loan;QNQQ741;088462012;Davide dos Santos Pereira;Closed;Withdrawn;2000,00;0,00;0,00;0,00;0,00;12-07-2021 12:09:40;;;12-07-2021 12:18:51;12-07-2021 12:18:51
Student Loan;YYAO994;088462012;Davide dos Santos Pereira;Approved;;7000,00;0,00;0,00;0,00;0,00;12-07-2021 12:19:23;;;06-12-2022 17:45:42;
Car Loan;YXRS090;088462012;Davide dos Santos Pereira;In Arrears;;10000,00;10000,00;13114,29;0,00;100,00;12-07-2021 12:23:54;13-07-2021;13-07-2021 16:23:54;06-12-2022 17:50:16;
Student Loan;UYRD631;705501648;Honorato Afonso de Maria;In Arrears;;9270,00;2553,50;3017,00;2081,50;3008,50;12-07-2021 14:50:00;12-07-2021;30-07-2021 14:44:21;06-12-2022 17:45:42;
Buy Now Pay Later;MARKETBANK-874576;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;49,99;0,00;0,00;0,00;0,00;13-06-2022 13:00:32;;;22-06-2022 16:23:45;22-06-2022 16:23:45
Buy Now Pay Later;MARKETBANK-383549;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;139,99;0,00;0,00;0,00;0,00;13-06-2022 13:09:50;;;22-06-2022 16:23:49;22-06-2022 16:23:49
Buy Now Pay Later;MARKETBANK-123252;810233400;Pedro3 Gomes3;Approved;;1000,89;0,00;0,00;0,00;0,00;09-06-2022 12:57:07;;;06-12-2022 17:45:33;
Buy Now Pay Later;MARKETBANK-148494;MARKETBANK-G62a1e14ace646;Alberto Gomes;Approved;;79,99;0,00;0,00;0,00;0,00;09-06-2022 13:03:19;;;06-12-2022 17:45:33;
Retail Mortgage;MRTG-RET-IOZD012;678220976;James Theodore White;Closed;Withdrawn;130000,00;0,00;0,00;0,00;0,00;09-04-2021 16:56:50;;;15-04-2021 10:34:54;15-04-2021 10:34:54
SO Mortgage Account - EUR;452537472;356136440;Sandra Bullock;In Arrears;;100000,00;1000,00;1167,23;1164,17;1169,17;04-07-2023 16:05:01;04-07-2023;04-07-2023 16:09:02;05-08-2023 06:27:15;
Student Loan;L00074;0;گلشن Chinwenma;In Arrears;;5000,00;1666,66;2256,66;0,00;0,00;30-03-2021 11:51:21;08-01-2021;;06-12-2022 17:45:41;
Personal Loan;NAYS440;567783887;Marta Coelho;In Arrears;Locked;2000,00;1505,00;1639,62;500,00;500,00;05-05-2022 20:50:16;05-05-2022;05-05-2022 20:52:29;06-12-2022 17:45:24;
BNPL - Dynamic;MARKETBANK-914074;MARKETBANK-1;Gil Pinto;Approved;;79,99;0,00;0,00;0,00;0,00;22-06-2022 15:52:25;22-06-2022;;06-12-2022 17:45:25;
Credit Card PT;L00068;00046;Martim Leitao Reis;Approved;;5000,00;0,00;0,00;0,00;0,00;29-03-2021 18:05:23;;;06-12-2022 17:45:30;
Buy Now Pay Later;1000000;598767285;António José;Approved;;150,00;0,00;0,00;0,00;0,00;08-06-2022 10:30:03;;;06-12-2022 17:45:32;
txt;117705021;205270106;EmpresaAngelina;Pending Approval;;2000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 14:22:44;
txt;111818118;205270106;EmpresaAngelina;Pending Approval;;2000,00;0,00;0,00;0,00;0,00;;;;27-03-2023 14:24:13;
SO Bank BNPL SME;961692196;205270106;EmpresaAngelina;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 14:36:44;;;27-03-2023 14:36:43;
SO Bank BNPL ;877483248;550185700;Ariel Mermaid;Approved;;1000,00;0,00;0,00;0,00;0,00;27-03-2023 14:42:31;;;27-03-2023 14:42:30;
Austrian Loan;FBXI653;299268506;Client Nuno Faria;In Arrears;;500000,00;133333,28;138395,79;0,00;0,00;20-08-2021 11:53:46;20-08-2021;;20-07-2023 01:06:35;
Austrian Loan;ARGA507;299268506;Client Nuno Faria;Approved;;500000,00;0,00;0,00;0,00;0,00;20-08-2021 15:09:36;;;06-12-2022 17:45:34;
Term Credit - (very) Long Term ;FBIQ063;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;13-06-2023 14:25:03;;;13-06-2023 14:25:02;
Term Credit - (very) Long Term ;IYUF160;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;13-06-2023 14:26:47;;;13-06-2023 14:26:46;
Term Credit - (very) Long Term ;GIAW632;243772958;Carol Amandino;Approved;;1500,00;0,00;0,00;0,00;0,00;13-06-2023 15:15:33;;;13-06-2023 15:15:32;
Buy Now Pay Later;MARKETBANK-817498;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 11:33:32;;;22-06-2022 16:25:05;22-06-2022 16:25:06
Buy Now Pay Later;MARKETBANK-683731;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 15:09:08;;;22-06-2022 16:25:10;22-06-2022 16:25:11
Buy Now Pay Later;MARKETBANK-295828;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,99;0,00;0,00;0,00;0,00;15-06-2022 16:09:19;;;22-06-2022 16:25:15;22-06-2022 16:25:15
Buy Now Pay Later;MARKETBANK-544506;MARKETBANK-1;Gil Pinto;Closed;Withdrawn;79,98;0,00;0,00;0,00;0,00;15-06-2022 16:11:58;;;22-06-2022 16:25:19;22-06-2022 16:25:20
BNPL - Dynamic;MARKETBANK-464008;MARKETBANK-1;Gil Pinto;In Arrears;;79,99;21,67;21,78;58,32;58,32;15-06-2022 17:07:45;14-06-2022;20-07-2022 00:00:00;20-01-2023 01:01:09;
Retail Mortgage;MRTG-RET-LTXU635;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;23-03-2021 07:29:11;;;23-03-2021 08:40:22;23-03-2021 08:40:23
Retail Mortgage;MRTG-RET-PLYO865;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;23-03-2021 09:39:57;;;23-03-2021 12:07:53;23-03-2021 12:07:54
Agriculture Loan;L00057;00046;Martim Leitao Reis;Approved;;1150,00;0,00;0,00;0,00;0,00;24-03-2021 12:00:30;;;06-12-2022 17:45:27;
Personal Loan;L00062;0;گلشن Chinwenma;Approved;;5000,00;0,00;0,00;0,00;0,00;24-03-2021 12:01:49;;;06-12-2022 17:45:44;
Retail Mortgage;MRTG-RET-SGGJ525;678220976;James Theodore White;Closed;Withdrawn;40000,00;0,00;0,00;0,00;0,00;25-03-2021 12:54:01;;;07-04-2021 13:19:52;07-04-2021 13:19:53
Retail Mortgage;MRTG-RET-TTWH690;678220976;James Theodore White;Closed;Withdrawn;150000,00;0,00;0,00;0,00;0,00;26-03-2021 08:24:57;;;07-04-2021 13:20:25;07-04-2021 13:20:26
Fishermen Group Loan;IYKD177;1315;Diogo Miguel Dias;Approved;;5000,00;0,00;0,00;0,00;0,00;04-03-2021 10:22:58;;;06-12-2022 17:45:29;
PERSONAL LOAN_JR DEMO;STFA772;621936648;Joana  Ramalho;In Arrears;;10000,00;10000,00;10041,65;0,00;0,00;04-08-2022 11:13:47;04-08-2022;;06-12-2022 17:45:36;
JR MORTGAGE PRODUCT;DSXW875;621936648;Joana  Ramalho;Approved;;80000,00;0,00;0,00;0,00;0,00;04-08-2022 11:37:25;;;06-12-2022 17:45:36;
Capitalized Fee test;MLIC869;022998274;João Silva;Closed;;1000,00;0,00;0,00;1001,28;1084,50;29-05-2020 15:39:45;29-05-2020;29-05-2020 15:42:37;29-05-2020 15:42:37;29-05-2020 15:42:38
Agriculture Loan;DAQB234;851308720;client test_1;Closed;Withdrawn;950,00;0,00;0,00;0,00;0,00;16-09-2022 02:40:43;;;16-09-2022 02:42:31;16-09-2022 02:42:32
Austrian Loan;THER114;851308720;client test_1;Closed;;500000,00;0,00;0,00;500000,00;500000,00;16-09-2022 02:45:07;16-09-2022;16-09-2022 02:46:40;16-09-2022 02:46:44;16-09-2022 02:46:45
smeloan45;WRBX556;205270106;EmpresaAngelina;Pending Approval;;100,00;0,00;0,00;0,00;0,00;;;;28-02-2023 16:52:04;
Agriculture Loan;RILV094;654249467;Eduardo Godinho RD;Approved;;950,00;0,00;0,00;0,00;0,00;21-04-2022 16:15:53;;;06-12-2022 17:45:31;
TesteLoan;KGSN451;769273359;Maria Pinto;In Arrears;;500,10;500,10;500,10;0,00;0,00;19-06-2023 10:30:51;19-06-2023;;22-06-2023 05:56:33;
Golden Bullet Loan​;PMWH301;769273359;Maria Pinto;Closed (Written Off);;100,00;0,00;0,00;0,00;0,00;19-06-2023 11:09:51;19-06-2023;;19-06-2023 11:23:24;19-06-2023 11:23:24
Golden Bullet Loan​;PXUA158;769273359;Maria Pinto;Closed;Rescheduled;350,00;0,00;0,00;0,00;0,00;19-06-2023 11:23:45;19-06-2023;;19-06-2023 11:31:18;19-06-2023 11:31:18
Agriculture Loan;L00001;00001;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;22-02-2021 10:50:49;;;06-12-2022 17:45:31;
Agriculture Loan;L00005;00005;Maria Graca Cardoso;Approved;;1150,00;0,00;0,00;0,00;0,00;22-02-2021 11:17:46;;;06-12-2022 17:45:32;
Agriculture Loan;L00006;00006;Martim Leitao Reis;Approved;;1145,00;0,00;0,00;0,00;0,00;22-02-2021 11:17:46;;;06-12-2022 17:45:32;
AAAA;VBWK900;614293493;John Doe;Closed;Refinanced;50000,00;0,00;0,00;13541,71;15243,00;20-01-2022 10:13:07;20-01-2022;20-01-2022 10:15:45;20-01-2022 10:26:08;20-01-2022 10:26:08
AAAA;QWUL779;614293493;John Doe;In Arrears;;41257,00;22660,64;23430,72;14470,57;15000,00;20-01-2022 10:26:08;20-01-2022;20-01-2022 10:27:15;06-12-2022 17:45:34;
BNPL - KTB;WMKI530;299268506;Client Nuno Faria;In Arrears;;10000,00;2873,87;5146,20;0,00;3,01;21-04-2023 11:12:57;21-04-2023;05-05-2023 17:13:13;08-08-2023 04:40:17;
BNPL - KTB;BWAL080;299268506;Client Nuno Faria;In Arrears;;1000,00;1000,00;1000,28;0,00;0,00;21-04-2023 11:54:24;21-04-2023;;29-04-2023 00:30:59;
BNPL - KTB;MKSC438;299268506;Client Nuno Faria;In Arrears;;10000,00;8999,00;8999,00;1001,00;1006,00;21-04-2023 11:56:10;21-04-2023;05-05-2023 16:55:22;06-05-2023 00:24:02;
SO Bank BNPL ;853016638;550185700;Ariel Mermaid;Approved;;1500,00;0,00;0,00;0,00;0,00;06-03-2023 11:38:49;;;06-03-2023 11:38:49;
SO Mortgage Account EURIBOR  - EUR v2;449993895;243772958;Carol Amandino;Active;;60000,00;0,00;0,00;0,00;0,00;26-07-2023 10:54:42;26-07-2023;;26-07-2023 10:55:06;
Retail Mortgage;MRTG-RET-BAYJ637;678220976;James Theodore White;Pending Approval;;100000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:39;
Retail Mortgage;MRTG-RET-YQYV441;678220976;James Theodore White;Pending Approval;;100000,00;0,00;0,00;0,00;0,00;;;;06-12-2022 17:45:39;
